year,month,geography,record_count,burned_acres,named_record_count,records_with_coordinates,certified_or_final_count,source_id,source_scope,coverage_tier,coverage_status,calendar_window_complete,provisional,comparable_over_time,causal_smoke_attribution
1972,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1972,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1972,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1972,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1973,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1973,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1973,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1973,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1973,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1973,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1973,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1973,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1973,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1973,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1973,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1973,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1974,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1974,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1974,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1974,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1974,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1974,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1974,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1974,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1974,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1974,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1974,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1974,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1975,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1975,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1975,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1975,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1975,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1975,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1975,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1975,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1975,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1975,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1975,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1975,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1976,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1976,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1976,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1976,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1976,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1976,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1976,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1976,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1976,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1976,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1976,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1976,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1977,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1977,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1977,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1977,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1977,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1977,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1977,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1977,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1977,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1977,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1977,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1977,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1978,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1978,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1978,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1978,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1978,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
